service_id,date,exception_type
2_merged_140557,20151224,1
1_merged_140558,20150907,2
1_merged_140558,20150525,2
1_merged_140558,20151126,2
1_merged_140555,20151225,2
1_merged_140555,20151224,2
1_merged_140555,20160101,2
2_merged_140560,20150704,2
3_merged_140556,20151225,1
3_merged_140556,20160101,1
3_merged_140559,20150907,1
3_merged_140559,20150525,1
3_merged_140559,20151126,1
3_merged_140559,20150704,1
